Abrelata,60,15 min/semana,1,0.06,0.12,Bajo
Exprimidor  citricos,30,10 min/dia,5,0.15,0.3,Bajo
Videocassetera o DVD,25,3hr 4vec/sem,48,1.2,2.4,Bajo
Extractor de frutas y legumbres,300,10 min/día,5,1.6,3.2,Bajo
Batidora,200,1hr 2vec/sem,8,1.8,3.6,Bajo
Licuadora baja potencia,350,10 min/día,5,2,4,Bajo
Licuadora mediana potencia,400,10 min/día,5,2,4,Bajo
Máquina de coser,125,2hr 2vec/sem,16,2.3,4.6,Bajo
Tocadiscos de acetatos,75,1 hr/día,30,2.5,5,Bajo
Licuadora alta potencia,500,10 min/día,5,4,8,Bajo
Bomba de agua,400,20 min/día,10,5,10,Bajo
Tostadora,1000,10min.diarios,5,5,10,Bajo
Radio grabadora,40,4 hrs.diarias,120,8,16,Bajo
Secadora de pelo,1600,10 min/día,5,9,18,Bajo
Estereo musical,75,4 hrs.diarias,120,9,18,Bajo
Tv color (13-17 pulg),50,6 hrs.diarias,180,10,20,Bajo
Horno eléctrico,1000,15 min/día,10,12,24,Bajo
Horno de microondas,1200,15 min/día,10,13,26,Bajo
Lavadora automática,400,4hr 2vec/sem,32,13,26,Bajo
Tv color (19-21 pulg),70,6 hrs.diarias,180,13,26,Bajo
Aspiradora horizontal,800,2hr 2vec/sem,16,13,26,Bajo
Aspiradora vertical,1000,2hr 2vec/sem,16,16,32,Bajo
Ventilador de mesa,65,8 hrs.diarias,240,16,32,Bajo
Ventilador de techo sin lámparas,65,8 hrs.diarias,240,16,32,Bajo
Ventilador de pedestal o torre,70,8 hrs.diarias,240,17,34,Bajo
Focos fluorescentes (8 de 15W c/u),120,5 hrs.diarias,150,18,36,Bajo
TV Color (24-29pulg),120,6 hrs.diarias,180,22,44,Medio
Cafetera,750,1 hr.diarias,30,23,46,Medio
Plancha,1000,3hr 2vec/sem,24,24,48,Medio
Ventilador de piso,125,8 hrs.diarias,240,30,60,Medio
Estación de juegos,250,4 hora/dia,120,30,60,Medio
Equipo de computo,300,4 hora/dia,120,36,72,Medio
TV Color(32-43pulg),250,6 hrs.diarias,180,45,90,Medio
Refrigerador (11-12 pies cúbicos),250,8 hrs/dia,240,60,120,Medio
TV Color (43-50 pulg. Plasma),360,6 hrs.diarias,180,65,130,Medio
Refrigerador(14-16 pies cúbicos),290,8 hrs/dia,240,70,140,Medio
Focos incandescentes (8 de 60W c/u),480,5 hr.diarias,150,72,144,Medio
Refrigerador (18-22 pies cúbicos),375,8 hrs/dia,240,90,180,Medio
Secadora de ropa eléctrica,5600,4 hrs.semana,16,90,180,Medio
Congelador,400,8 hrs/día,240,96,192,Medio
Refrigerador de más de 10 años,500,9 hrs/día,240,120,240,Alto
Refrigerador(25-27 pies cúbicos),650,8 hrs/día,240,156,312,Alto
Calentador de aire,1500,4 hrs/día,120,180,360,Alto
Aire lavado (cooler)mediano,400,12 hrs.diarias,360,144,288,Alto
Aire lavado (cooler)grande,600,12 hrs.diarias,360,216,432,Alto
